school ,tot,min,dis,stw
SAXTON MIDDLE SCHOOL,743,0.37,0.41,0
CENTRAL SQUARE MIDDLE SCHOOL,1025,0.04,0.41,0
INDIAN RIVER MIDDLE SCHOOL,861,0.35,0.41,0
OSWEGO MIDDLE SCHOOL,607,0.08,0.41,0
BROADALBIN-PERTH MIDDLE SCHOOL,413,0.08,0.41,0
LAKE SHORE MIDDLE SCHOOL,646,0.15,0.41,0
DELAWARE ACADEMY MIDDLE SCHOOL,162,0.04,0.41,0
PERU MIDDLE SCHOOL,343,0.06,0.41,0
TACONIC HILLSJUNIOR/SENIOR HIGH SCHOOL,465,0.10,0.42,0
HENRY L STIMSON MIDDLE SCHOOL,981,0.46,0.42,0
MORRISVILLE MIDDLE SCHOOL HIGH SCHOOL,334,0.06,0.42,0
A D OLIVER MIDDLE SCHOOL,862,0.17,0.42,0
GILBERTSVILLE-MOUNT UPTON JUNIOR-SENIOR HIGH SCHOOL,230,0.03,0.42,0
MIDDLEBURGH HIGH SCHOOL,275,0.03,0.43,0
PARISHVILLE-HOPKINTON JUNIOR-SENIOR HIGH SCHOOL,195,0.01,0.43,0
HAMPTON BAYS MIDDLE SCHOOL,586,0.51,0.43,0
CORTLAND JUNIOR-SENIOR HIGH SCHOOL,1200,0.11,0.43,0
GROTON JUNIOR/SENIOR HIGH SCHOOL,276,0.05,0.43,0
CAMPBELL-SAVONA JUNIOR/SENIOR HIGH SCHOOL,411,0.04,0.43,0
NORTHEASTERN CLINTON MIDDLE SCHOOL,314,0.09,0.43,0
CORINTH MIDDLE SCHOOL,260,0.02,0.43,0
RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,474,0.15,0.43,0
EAST ROCHESTER JUNIOR-SENIOR HIGH SCHOOL,497,0.14,0.43,0
MEXICO MIDDLE SCHOOL,655,0.05,0.44,0
SAUGERTIES JUNIOR HIGH SCHOOL,492,0.14,0.44,0
ADIRONDACK MIDDLE SCHOOL,302,0.02,0.44,0
CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,277,0.05,0.44,0
RONDOUT VALLEY JUNIOR HIGH SCHOOL,304,0.11,0.44,0
GRANVILLE JUNIOR-SENIOR HIGH SCHOOL,644,0.02,0.44,0
CATO-MERIDIAN MIDDLE SCHOOL,334,0.05,0.44,0
HOWARD T HERBER MIDDLE SCHOOL,397,0.81,0.44,0
RIVERHEAD MIDDLE SCHOOL,693,0.46,0.44,0
FIELDSTONE MIDDLE SCHOOL,1326,0.63,0.45,0
AUBURN JUNIOR HIGH SCHOOL,594,0.20,0.45,0
DALTON-NUNDA MIDDLE SCHOOL,176,0.02,0.45,0
PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL,307,0.05,0.45,0
HUNTER-TANNERSVILLE MIDDLE SCHOOL HIGH SCHOOL,177,0.08,0.45,0
DOVER MIDDLE SCHOOL,336,0.25,0.45,0
CIRCLEVILLE MIDDLE SCHOOL,596,0.52,0.45,0
CANDOR JUNIOR-SENIOR HIGH SCHOOL,362,0.07,0.45,0
MARYVALE MIDDLE SCHOOL,489,0.18,0.46,0
COXSACKIE-ATHENS MIDDLE SCHOOL,434,0.13,0.46,0
GOUVERNEUR JUNIOR-SENIOR HIGH SCHOOL,874,0.04,0.46,0
TICONDEROGA MIDDLE SCHOOL,197,0.03,0.46,0
OTTO L SHORTELL MIDDLE SCHOOL,520,0.06,0.46,0
OWEGO-APALACHIN MIDDLE SCHOOL,505,0.06,0.46,0
ISLAND PARK LINCOLN ORENS MIDDLE SCHOOL,331,0.33,0.46,0
REMSEN JUNIOR-SENIOR HIGH SCHOOL,213,0.02,0.46,0
EMERSON J DILLON MIDDLE SCHOOL,627,0.06,0.47,0
CHESTNUT HILL MIDDLE SCHOOL,319,0.26,0.47,0
FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,339,0.01,0.47,0
JENNIE F SNAPP MIDDLE SCHOOL,918,0.22,0.47,0
CLYDE-SAVANNAH MIDDLE SCHOOL,185,0.16,0.47,0
ODESSA-MONTOUR JUNIOR/SENIOR HIGH SCHOOL,355,0.06,0.47,0
BAY SHORE MIDDLE SCHOOL,1401,0.62,0.47,0
POLAND JUNIOR-SENIOR HIGH SCHOOL,348,0.08,0.47,0
HAVILAND MIDDLE SCHOOL,941,0.29,0.47,0
A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,649,0.04,0.47,0
HUDSON FALLS MIDDLE SCHOOL,528,0.06,0.47,0
GATES-CHILI MIDDLE SCHOOL,992,0.35,0.47,0
GROTON MIDDLE SCHOOL,185,0.05,0.48,0
BEN FRANKLIN MIDDLE SCHOOL,496,0.14,0.48,0
ROXBORO ROAD MIDDLE SCHOOL,916,0.16,0.48,0
DEPEW MIDDLE SCHOOL,459,0.11,0.48,0
ANNE M DORNER MIDDLE SCHOOL,919,0.71,0.48,0
MIDDLESEX VALLEY ELEMENTARY SCHOOL,339,0.04,0.48,0
MIDDLEBURGH MIDDLE SCHOOL,207,0.03,0.48,0
BEAVER RIVER MIDDLE SCHOOL,190,0.04,0.48,0
AUSABLE VALLEY MIDDLE SCHOOL,196,0.03,0.48,0
AFTON JUNIOR/SENIOR HIGH SCHOOL,250,0.05,0.48,0
DANA L LYON MIDDLE SCHOOL,551,0.03,0.48,0
LONGWOOD MIDDLE SCHOOL,1251,0.47,0.48,0
MIDDLEBURGH ELEMENTARY SCHOOL,363,0.05,0.49,0
STAFFORD MIDDLE SCHOOL,407,0.15,0.49,0
BEEKMANTOWN MIDDLE SCHOOL,445,0.05,0.49,0
KNOX JUNIOR HIGH SCHOOL,283,0.08,0.49,0
BERLIN MIDDLE SCHOOL,191,0.03,0.49,0
HARRISVILLE JUNIOR-SENIOR HIGH SCHOOL,224,0.03,0.50,0
PERRY MIDDLE SCHOOL,260,0.04,0.50,0
BELLPORT MIDDLE SCHOOL,1008,0.53,0.50,0
CLIFFORD WISE INTERMEDIATE/MIDDLE SCHOOL,545,0.22,0.50,0
LYNDON H STROUGH MIDDLE SCHOOL,788,0.15,0.50,0
ARCADIA MIDDLE SCHOOL,841,0.25,0.50,0
NEWARK VALLEY MIDDLE SCHOOL,372,0.03,0.50,0
ROMBOUT MIDDLE SCHOOL,674,0.56,0.50,0
ROBERTS STREET MIDDLE SCHOOL,326,0.09,0.51,0
SPENCER-VAN ETTEN MIDDLE SCHOOL,306,0.04,0.51,0
SILVER CREEK MIDDLE SCHOOL,228,0.22,0.51,0
HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,374,0.04,0.51,0
PENN YAN MIDDLE SCHOOL,391,0.07,0.51,0
COHEN MIDDLE SCHOOL,247,0.09,0.51,0
NORTHERN ADIRONDACK MIDDLE/HIGH SCHOOL,447,0.03,0.51,0
GREENE MIDDLE SCHOOL,235,0.04,0.51,0
DRYDEN MIDDLE SCHOOL,398,0.05,0.52,0
UNATEGO MIDDLE SCHOOL,240,0.07,0.52,0
SALAMANCA JUNIOR/SENIOR HIGH SCHOOL,550,0.42,0.52,0
UNATEGO JUNIOR-SENIOR HIGH SCHOOL,305,0.06,0.52,0
BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,427,0.03,0.52,0
J WATSON BAILEY MIDDLE SCHOOL,785,0.42,0.52,0
NORWICH MIDDLE SCHOOL,443,0.08,0.52,0
CLEVELAND HILL MIDDLE SCHOOL,311,0.41,0.52,0
PULASKI MIDDLE SCHOOL,259,0.05,0.53,0
SOUTH OCEAN MIDDLE SCHOOL,479,0.50,0.53,0
BROCTON MIDDLE HIGH SCHOOL,283,0.13,0.53,0
TACONIC HILLS MIDDLE SCHOOL,338,0.12,0.53,0
NEWARK MIDDLE SCHOOL,488,0.22,0.53,0
HORNELL JUNIOR HIGH SCHOOL,311,0.10,0.53,0
CARL I BERGERSON MIDDLE SCHOOL,474,0.23,0.53,0
CARTHAGE MIDDLE SCHOOL,1063,0.24,0.53,0
NORTH PARK JUNIOR HIGH SCHOOL,766,0.25,0.53,0
LITTLE FALLS MIDDLE SCHOOL,264,0.06,0.53,0
SODUS MIDDLE SCHOOL,342,0.32,0.54,0
HOLLEY JUNIOR SENIOR HIGH SCHOOL,603,0.09,0.54,0
M CLIFFORD MILLER MIDDLE SCHOOL,665,0.35,0.54,0
EUGENE BROOKS MIDDLE SCHOOL,262,0.21,0.54,0
OLEAN INTERMEDIATE-MIDDLE SCHOOL,675,0.17,0.54,0
CAIRO-DURHAM MIDDLE SCHOOL,306,0.16,0.54,0
NORWOOD-NORFOLK MIDDLE SCHOOL,291,0.07,0.54,0
TIOGA MIDDLE SCHOOL,309,0.04,0.55,0
MALONE MIDDLE SCHOOL,491,0.05,0.55,0
EAST IRONDEQUOIT MIDDLE SCHOOL,688,0.42,0.55,0
CANAJOHARIE MIDDLE SCHOOL,247,0.01,0.55,0
NEWFIELD MIDDLE SCHOOL,174,0.08,0.55,0
ROBERT M FINLEY MIDDLE SCHOOL,701,0.68,0.55,0
FULTON JUNIOR HIGH SCHOOL,581,0.08,0.55,0
SOUTH SENECA MIDDLE/HIGH SCHOOL,427,0.07,0.55,0
MOUNT MORRIS MIDDLE/SENIOR HIGH SCHOOL,208,0.28,0.55,0
SANDY CREEK MIDDLE SCHOOL,188,0.04,0.55,0
J WILLIAM LEARY JUNIOR HIGH SCHOOL,479,0.20,0.55,0
DUNDEE JUNIOR-SENIOR HIGH SCHOOL,375,0.06,0.55,0
BATAVIA MIDDLE SCHOOL,747,0.23,0.56,0
SLEEPY HOLLOW MIDDLE SCHOOL,581,0.65,0.56,0
HANCOCK JUNIOR-SENIOR HIGH SCHOOL,244,0.07,0.57,0
CATSKILL MIDDLE SCHOOL,336,0.28,0.57,0
SHERBURNE-EARLVILLE MIDDLE SCHOOL,319,0.03,0.57,0
CINCINNATUS MIDDLE SCHOOL,162,0.02,0.57,0
FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL,350,0.09,0.58,0
STUART M TOWNSEND MIDDLE SCHOOL,367,0.02,0.58,0
BROADWAY MIDDLE SCHOOL,556,0.19,0.58,0
ST LAWRENCE MIDDLE SCHOOL,357,0.10,0.58,0
LIBERTY MIDDLE/HIGH SCHOOL,927,0.42,0.58,0
CLIFTON-FINE JUNIOR-SENIOR HIGH SCHOOL,127,0.08,0.58,0
OXFORD ACADEMY MIDDLE SCHOOL,247,0.11,0.58,0
RED CREEK MIDDLE SCHOOL,245,0.05,0.58,0
IRWIN ALTMAN MIDDLE SCHOOL 172,974,0.84,0.59,0
PORT JERVIS MIDDLE SCHOOL,485,0.24,0.59,0
SOLVAY MIDDLE SCHOOL,536,0.18,0.59,0
MORIAH JUNIOR-SENIOR HIGH SCHOOL,323,0.03,0.59,0
CASE MIDDLE SCHOOL,603,0.27,0.59,0
LAWRENCE MIDDLE SCHOOL,832,0.75,0.60,0
CAMDEN MIDDLE SCHOOL,500,0.03,0.60,0
DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,261,0.07,0.60,0
CHEEKTOWAGA MIDDLE SCHOOL,646,0.47,0.61,0
JOHN W DODD MIDDLE SCHOOL,982,0.96,0.61,0
GOWANDA MIDDLE SCHOOL,406,0.34,0.61,0
KENNEY MIDDLE SCHOOL,471,0.04,0.61,0
HUDSON JUNIOR/SENIOR HIGH SCHOOL,854,0.50,0.61,0
MOUNT MARKHAM MIDDLE SCHOOL,345,0.03,0.61,0
LYONS MIDDLE SCHOOL,137,0.24,0.61,0
EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL,578,0.24,0.62,0
GENEVA MIDDLE SCHOOL,476,0.47,0.62,0
EDWARDS-KNOX JUNIOR-SENIOR HIGH SCHOOL,267,0.04,0.62,0
JOHNSON CITY MIDDLE SCHOOL,582,0.31,0.62,0
PERSELL MIDDLE SCHOOL,510,0.25,0.63,0
TURTLE HOOK MIDDLE SCHOOL,738,1.00,0.63,0
ERNIE DAVIS MIDDLE SCHOOL,460,0.32,0.63,0
ELLENVILLE MIDDLE SCHOOL,383,0.42,0.63,0
RENSSELAER JUNIOR/SENIOR HIGH SCHOOL,428,0.26,0.64,0
NORTH ROSE-WOLCOTT MIDDLE SCHOOL,387,0.11,0.64,0
ROBERT J KAISER MIDDLE SCHOOL,739,0.50,0.64,0
DOLGEVILLE MIDDLE SCHOOL,296,0.01,0.65,0
COPIAGUE MIDDLE SCHOOL,1088,0.81,0.65,0
SIDNEY MIDDLE SCHOOL,333,0.09,0.65,0
GLOVERSVILLE MIDDLE SCHOOL,672,0.11,0.65,0
PORT CHESTER MIDDLE SCHOOL,910,0.84,0.65,0
COHOES MIDDLE SCHOOL,412,0.19,0.66,0
KNICKERBACKER MIDDLE SCHOOL,553,0.32,0.66,0
FALLSBURG JUNIOR SENIOR HIGH SCHOOL,590,0.52,0.66,0
LAWRENCE ROAD MIDDLE SCHOOL,765,1.00,0.66,0
SOUTH LEWIS MIDDLE SCHOOL,291,0.04,0.66,0
ISAAC E YOUNG MIDDLE SCHOOL,1144,0.88,0.67,0
HERITAGE MIDDLE SCHOOL,901,0.72,0.67,0
PEEKSKILL MIDDLE SCHOOL,606,0.87,0.67,0
MIDDLETOWN HIGH SCHOOL,2102,0.78,0.67,0
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,326,0.86,0.68,0
THOMAS JEFFERSON MIDDLE SCHOOL,478,0.26,0.69,0
PS 87 MIDDLE VILLAGE,606,0.51,0.69,0
TROY MIDDLE SCHOOL,556,0.51,0.69,0
DUNKIRK MIDDLE SCHOOL,481,0.62,0.70,0
EDMUND W MILES MIDDLE SCHOOL,658,0.93,0.71,0
EAST MIDDLE SCHOOL,2101,0.62,0.71,0
TOMPKINS SQUARE MIDDLE SCHOOL,384,0.84,0.71,0
GEORGE WASHINGTON MIDDLE SCHOOL,565,0.41,0.72,0
POMONA MIDDLE SCHOOL,597,0.94,0.72,0
BERKSHIRE JUNIOR-SENIOR HIGH SCHOOL,97,0.71,0.73,0
MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,184,0.93,0.73,0
SOUTH MIDDLE SCHOOL,1790,0.86,0.75,0
CHESTNUT RIDGE MIDDLE SCHOOL,501,0.94,0.75,0
ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL,1313,0.99,0.76,0
MIDDLETOWN TWIN TOWERS MIDDLE SCHOOL,816,0.80,0.76,0
EXPEDITIONARY LEARNING MIDDLE SCHOOL,138,0.68,0.77,0
MONHAGEN MIDDLE SCHOOL,770,0.76,0.77,0
COMMUNITY VOICES MIDDLE SCHOOL,326,1.00,0.78,0
MIDDLE EARLY COLLEGE HIGH SCHOOL,295,0.81,0.78,0
LONGFELLOW MIDDLE SCHOOL,564,0.99,0.78,0
DAVIS MIDDLE SCHOOL,799,0.94,0.78,0
LACKAWANNA MIDDLE SCHOOL,257,0.32,0.79,0
STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,674,0.82,0.80,0
GRANT MIDDLE SCHOOL,677,0.67,0.80,0
NORTH MIDDLE SCHOOL,1057,0.95,0.80,0
COLLABORATIVE ARTS MIDDLE SCHOOL,321,0.99,0.81,0
ROOSEVELT MIDDLE SCHOOL,628,0.97,0.81,0
MIDDLE SCHOOL FOR THE ARTS,235,1.00,0.83,0
CLARY MIDDLE SCHOOL,395,0.86,0.84,0
CHARLES A MULLIGAN MIDDLE SCHOOL,975,0.96,0.84,0
SENATOR JAMES H DONOVAN MIDDLE SCHOOL,729,0.70,0.85,0
CATHERINE AND COUNT BASIE MIDDLE SCHOOL 72,871,1.00,0.85,0
MONT PLEASANT MIDDLE SCHOOL,817,0.71,0.85,0
GEORGE JUNIOR REPUBLIC SCHOOL,175,0.39,0.86,0
LINCOLN MIDDLE SCHOOL,541,0.75,0.86,0
SCIENCE AND MEDICINE MIDDLE SCHOOL (THE),295,0.98,0.86,0
SALMON RIVER MIDDLE SCHOOL,332,0.68,0.86,0
POUGHKEEPSIE MIDDLE SCHOOL,973,0.88,0.87,0
MS 266 PARK PLACE COMMUNITY MIDDLE SCHOOL,157,0.98,0.87,0
IS 250 THE ROBERT F KENNEDY COMMUNITY MIDDLE SCHOOL,344,0.84,0.88,0
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL,251,0.97,0.88,0
MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE,193,1.00,0.89,0
GREENBURGH ELEVEN MIDDLE SCHOOL,18,1.00,0.89,0
MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,320,0.98,0.89,0
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,293,1.00,0.89,0
BRONX PARK MIDDLE SCHOOL,131,0.91,0.91,0
JOHN ERICSSON MIDDLE SCHOOL 126,262,0.95,0.91,0
ELIJAH STROUD MIDDLE SCHOOL,236,0.98,0.92,0
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,118,1.00,0.92,0
MIDDLE SCHOOL FOR ART AND PHILOSPHY,366,0.99,0.93,0
DANFORTH MIDDLE SCHOOL,462,0.95,0.93,0
NEW DESIGN MIDDLE SCHOOL,209,0.98,0.93,0
ASPIRE PREPARATORY MIDDLE SCHOOL,230,0.92,0.93,0
SATELLITE WEST MIDDLE SCHOOL,129,0.98,0.94,0
MILTON L OLIVE MIDDLE SCHOOL,461,0.98,0.94,0
SATELLITE EAST MIDDLE SCHOOL,207,0.99,0.94,0
GENERAL D CHAPPIE JAMES MIDDLE SCHOOL OF SCIENCE,174,1.00,0.94,0
BRONX GREEN MIDDLE SCHOOL,385,0.94,0.95,0
MADIBA PREP MIDDLE SCHOOL,92,0.98,0.95,0
MIDDLE SCHOOL 322,437,0.98,0.95,0
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,231,1.00,0.96,0
EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,149,0.98,0.96,0
FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,255,0.99,0.96,0
THOMAS C GIORDANO MIDDLE SCHOOL 45,886,0.97,0.97,0
MS 247 DUAL LANGUAGE MIDDLE SCHOOL,215,1.00,0.97,0
NEW HEIGHTS MIDDLE SCHOOL,125,1.00,0.97,0
MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,354,0.99,0.97,0
EBBETS FIELD MIDDLE SCHOOL,325,0.97,0.98,0
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,489,0.90,1.00,0
BLUEPRINT MIDDLE SCHOOL,97,0.98,1.00,0
ONE WORLD MIDDLE SCHOOL AT EDENWALD,234,0.99,1.00,0
NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,191,0.99,1.00,0
BAYCHESTER MIDDLE SCHOOL,198,0.99,1.00,0
PELHAM GARDENS MIDDLE SCHOOL,164,0.99,1.00,0
FANNIE LOU HAMER MIDDLE SCHOOL,247,1.00,1.00,0
ANGELO PATRI MIDDLE SCHOOL (THE),632,1.00,1.00,0
BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,75,1.00,1.00,0
GARDEN CITY MIDDLE SCHOOL-STW,969,0.08,0.01,1
JERICHO MIDDLE SCHOOL-STW,719,0.44,0.02,1
BARKER ROAD MIDDLE SCHOOL-STW,744,0.22,0.03,1
CALKINS ROAD MIDDLE SCHOOL-STW,695,0.20,0.05,1
NORTH SALEM MIDDLE SCHOOL/HIGH SCHOOL-STW,693,0.12,0.05,1
PLEASANTVILLE MIDDLE SCHOOL-STW,576,0.16,0.07,1
SAYVILLE MIDDLE SCHOOL-STW,760,0.07,0.10,1
HONEOYE FALLS-LIMA MIDDLE SCHOOL-STW,579,0.06,0.11,1
VICTOR JUNIOR HIGH SCHOOL-STW,689,0.08,0.11,1
TWELVE CORNERS MIDDLE SCHOOL-STW,810,0.26,0.12,1
FARNSWORTH MIDDLE SCHOOL-STW,1156,0.17,0.13,1
JOHANNA PERRIN MIDDLE SCHOOL-STW,709,0.12,0.13,1
BAY TRAIL MIDDLE SCHOOL-STW,1101,0.15,0.14,1
CARRIE PALMER WEBER MIDDLE SCHOOL-STW,1165,0.30,0.15,1
MARTHA BROWN MIDDLE SCHOOL-STW,816,0.12,0.16,1
VAN WYCK JUNIOR HIGH SCHOOL-STW,1497,0.19,0.17,1
LAKELAND-COPPER BEECH MIDDLE SCHOOL-STW,1415,0.26,0.18,1
MERTON WILLIAMS MIDDLE SCHOOL-STW,669,0.08,0.23,1
ISLIP MIDDLE SCHOOL-STW,700,0.31,0.24,1
OLIVER W WINCH MIDDLE SCHOOL-STW,750,0.04,0.26,1
A A KINGSTON MIDDLE SCHOOL-STW,359,0.06,0.30,1
MORAVIA JUNIOR-SENIOR HIGH SCHOOL-STW,505,0.03,0.36,1
GLENS FALLS MIDDLE SCHOOL-STW,606,0.13,0.47,1
LONGWOOD JUNIOR HIGH SCHOOL-STW,1369,0.48,0.50,1
PIONEER MIDDLE SCHOOL-STW,765,0.03,0.51,1
